meter_id,maintenance_date,maintenance_type,description,technician,cost_usd,status
asu-water-meter-0025,2026-02-06T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0025 in pune-zone-2,Diana Davis,251.93,scheduled
asu-water-meter-0025,2026-03-08T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0025 in pune-zone-2,John Mcintyre,225.94,completed
asu-water-meter-0025,2026-03-09T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0025 in pune-zone-2,Benjamin Taylor,271.14,completed
asu-water-meter-0032,2026-01-20T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0032 in delhi-zone-3,James Perry,254.86,in-progress
asu-water-meter-0032,2026-01-02T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0032 in delhi-zone-3,James Taylor,342.22,scheduled
asu-water-meter-0032,2026-02-24T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0032 in delhi-zone-3,Kathleen Henderson,98.98,completed
asu-water-meter-0034,2026-01-16T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0034 in delhi-zone-1,David Ellis,458.51,completed
asu-water-meter-0034,2026-01-22T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0034 in delhi-zone-1,Crystal Russell,138.62,in-progress
asu-water-meter-0034,2026-02-15T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0034 in delhi-zone-1,Tammy Alvarez,72.69,in-progress
asu-water-meter-0035,2026-03-03T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0035 in delhi-zone-1,Mary Carpenter,348.9,in-progress
asu-water-meter-0035,2026-03-02T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0035 in delhi-zone-1,David Ortiz,447.55,completed
asu-water-meter-0035,2026-03-02T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0035 in delhi-zone-1,Aaron Cruz,484.89,in-progress
asu-water-meter-0038,2026-01-05T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0038 in bangalore-zone-1,Victoria Smith,218.96,in-progress
asu-water-meter-0039,2026-03-02T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0039 in delhi-zone-1,Nicholas Wagner,410.78,completed
asu-water-meter-0039,2026-03-29T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0039 in delhi-zone-1,Mrs. Tiffany Ashley,109.67,completed
asu-water-meter-0039,2026-01-07T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0039 in delhi-zone-1,Jessica Trujillo,183.66,completed
asu-water-meter-0040,2026-02-23T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0040 in mumbai-zone-3,Jennifer Newman MD,433.78,in-progress
asu-water-meter-0041,2026-03-18T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0041 in delhi-zone-3,Michael Berg,424.5,completed
asu-water-meter-0041,2026-03-17T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0041 in delhi-zone-3,Christopher Russell,208.91,completed
asu-water-meter-0042,2026-02-20T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0042 in delhi-zone-2,Craig Howard,288.33,in-progress
asu-water-meter-0042,2026-03-09T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0042 in delhi-zone-2,Christopher Montgomery,131.01,completed
asu-water-meter-0046,2026-03-23T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0046 in mumbai-zone-2,Roger Miller,152.91,in-progress
asu-water-meter-0046,2026-02-21T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0046 in mumbai-zone-2,Mrs. Michelle Jensen,115.42,completed
asu-water-meter-0046,2026-03-15T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0046 in mumbai-zone-2,Curtis Frey,491.76,in-progress
asu-water-meter-0047,2026-01-04T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0047 in mumbai-zone-1,Jessica Kerr,309.48,completed
asu-water-meter-0056,2026-01-08T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0056 in mumbai-zone-1,Joseph Snow,351.16,in-progress
asu-water-meter-0056,2026-03-23T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0056 in mumbai-zone-1,Melanie Chavez,150.89,completed
asu-water-meter-0056,2026-03-26T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0056 in mumbai-zone-1,Amy Nolan,151.84,completed
asu-water-meter-0057,2026-02-03T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0057 in mumbai-zone-1,Christopher Reeves,373.52,completed
asu-water-meter-0057,2026-03-30T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0057 in mumbai-zone-1,Kelly Stevens,374.54,completed
asu-water-meter-0057,2026-02-03T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0057 in mumbai-zone-1,Pamela Macias,467.93,completed
asu-water-meter-0063,2026-03-17T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0063 in pune-zone-2,Michele Hatfield,51.56,completed
asu-water-meter-0069,2026-02-20T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0069 in pune-zone-2,Megan Morales,393.83,completed
asu-water-meter-0069,2026-03-28T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0069 in pune-zone-2,Michelle Jones,136.93,completed
asu-water-meter-0073,2026-03-24T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0073 in mumbai-zone-1,Donna Johnson,130.52,completed
asu-water-meter-0073,2026-01-14T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0073 in mumbai-zone-1,Curtis Barnett,374.35,in-progress
asu-water-meter-0073,2026-03-23T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0073 in mumbai-zone-1,Sean Davidson,59.68,completed
asu-water-meter-0074,2026-01-23T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0074 in delhi-zone-3,Jennifer Glass,358.03,completed
asu-water-meter-0075,2026-02-20T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0075 in pune-zone-1,Charles Jackson,469.6,completed
asu-water-meter-0075,2026-01-20T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0075 in pune-zone-1,Ryan Nielsen,249.07,completed
asu-water-meter-0075,2026-04-01T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0075 in pune-zone-1,Stanley Smith DVM,78.12,scheduled
asu-water-meter-0076,2026-02-11T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0076 in pune-zone-1,Jennifer Dixon,209.08,completed
asu-water-meter-0076,2026-01-13T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0076 in pune-zone-1,Patrick Higgins,404.59,completed
asu-water-meter-0076,2026-03-09T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0076 in pune-zone-1,Elaine Chambers,197.09,in-progress
asu-water-meter-0078,2026-03-29T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0078 in bangalore-zone-2,John Martin,446.73,completed
asu-water-meter-0080,2026-03-16T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0080 in pune-zone-1,Joshua Nelson,328.87,in-progress
asu-water-meter-0091,2026-02-22T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0091 in pune-zone-2,Erin Hayes,138.96,in-progress
asu-water-meter-0091,2026-02-24T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0091 in pune-zone-2,Brandon Martin,187.13,completed
asu-water-meter-0091,2026-02-06T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0091 in pune-zone-2,Kristin Clayton,431.56,in-progress
asu-water-meter-0092,2026-03-14T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0092 in delhi-zone-2,Christopher Harris,322.64,completed
asu-water-meter-0092,2026-02-15T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0092 in delhi-zone-2,Robin Harris,181.51,completed
asu-water-meter-0097,2026-03-04T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0097 in pune-zone-2,Amanda Wright MD,110.7,in-progress
asu-water-meter-0097,2026-02-01T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0097 in pune-zone-2,Hannah Klein,186.74,completed
asu-water-meter-0102,2026-02-28T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0102 in mumbai-zone-2,Brandon Sandoval,190.88,completed
asu-water-meter-0103,2026-02-18T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0103 in mumbai-zone-1,Charles Bishop,222.98,completed
asu-water-meter-0103,2026-03-05T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0103 in mumbai-zone-1,Ethan Gray,221.4,in-progress
asu-water-meter-0111,2026-02-25T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0111 in bangalore-zone-2,Donna Brown,393.25,in-progress
asu-water-meter-0113,2026-01-10T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0113 in pune-zone-2,Alexandra Campbell,112.73,in-progress
asu-water-meter-0114,2026-01-12T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0114 in delhi-zone-2,Thomas Garcia,86.6,completed
asu-water-meter-0114,2026-01-12T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0114 in delhi-zone-2,Jonathan Hernandez,495.21,in-progress
asu-water-meter-0118,2026-03-15T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0118 in pune-zone-2,Donna Francis,439.04,completed
asu-water-meter-0118,2026-02-24T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0118 in pune-zone-2,Deanna Kidd,236.32,scheduled
asu-water-meter-0119,2026-01-20T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0119 in bangalore-zone-1,Dr. Tracey West DVM,321.54,in-progress
asu-water-meter-0119,2026-03-12T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0119 in bangalore-zone-1,Kaitlyn Mendoza,427.56,completed
asu-water-meter-0123,2026-03-11T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0123 in delhi-zone-3,Troy Wright,54.18,completed
asu-water-meter-0123,2026-03-30T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0123 in delhi-zone-3,Glen Benitez,318.23,completed
asu-water-meter-0123,2026-01-31T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0123 in delhi-zone-3,Katherine Santana,460.17,completed
asu-water-meter-0131,2026-01-09T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0131 in mumbai-zone-2,John White,91.66,completed
asu-water-meter-0131,2026-03-22T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0131 in mumbai-zone-2,Linda Thompson,420.93,completed
asu-water-meter-0132,2026-03-28T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0132 in mumbai-zone-2,Nicole Burke,72.82,completed
asu-water-meter-0135,2026-03-11T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0135 in delhi-zone-3,Charles Vasquez,85.33,completed
asu-water-meter-0135,2026-01-12T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0135 in delhi-zone-3,William Contreras,129.81,in-progress
asu-water-meter-0137,2026-03-30T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0137 in mumbai-zone-3,Clinton Adams,455.43,completed
asu-water-meter-0147,2026-03-21T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0147 in delhi-zone-1,Craig Rich,197.96,completed
asu-water-meter-0156,2026-01-13T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0156 in delhi-zone-1,James Thomas,202.07,completed
asu-water-meter-0156,2026-03-02T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0156 in delhi-zone-1,Ashlee Shaw,444.89,completed
asu-water-meter-0156,2026-01-24T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0156 in delhi-zone-1,Beth Atkins,117.72,in-progress
asu-water-meter-0158,2026-03-22T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0158 in delhi-zone-2,Melissa Saunders,245.21,completed
asu-water-meter-0169,2026-01-05T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0169 in bangalore-zone-2,Laura Mason,54.41,completed
asu-water-meter-0169,2026-01-26T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0169 in bangalore-zone-2,Margaret Russell,104.65,in-progress
asu-water-meter-0174,2026-01-12T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0174 in delhi-zone-2,George Gray,69.95,completed
asu-water-meter-0175,2026-01-27T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0175 in mumbai-zone-3,Daniel Palmer,331.5,completed
asu-water-meter-0183,2026-03-11T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0183 in mumbai-zone-2,Daniel Moore,282.05,completed
asu-water-meter-0183,2026-03-16T00:00:00,meter-replacement,Meter Replacement for meter asu-water-meter-0183 in mumbai-zone-2,Timothy Ramirez,492.45,scheduled
asu-water-meter-0183,2026-03-04T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0183 in mumbai-zone-2,Kristin Brown,183.08,completed
asu-water-meter-0184,2026-02-27T00:00:00,routine-inspection,Routine Inspection for meter asu-water-meter-0184 in delhi-zone-1,Garrett Morales,142.16,scheduled
asu-water-meter-0184,2026-01-09T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0184 in delhi-zone-1,Wayne Edwards,265.15,in-progress
asu-water-meter-0192,2026-01-31T00:00:00,sensor-calibration,Sensor Calibration for meter asu-water-meter-0192 in delhi-zone-2,Ryan Hill,380.57,scheduled
asu-water-meter-0192,2026-01-25T00:00:00,battery-replacement,Battery Replacement for meter asu-water-meter-0192 in delhi-zone-2,Jennifer Dean,442.87,in-progress
asu-water-meter-0195,2026-01-04T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0195 in mumbai-zone-1,Julie Valdez,79.8,completed
asu-water-meter-0195,2026-03-21T00:00:00,firmware-update,Firmware Update for meter asu-water-meter-0195 in mumbai-zone-1,Holly Mathews,369.58,completed
asu-water-meter-0195,2026-03-29T00:00:00,pipe-repair,Pipe Repair for meter asu-water-meter-0195 in mumbai-zone-1,Phillip Webster,201.65,in-progress
